Frame ID,csi_1real,csi_1imag,csi_2real,csi_2imag,csi_3real,csi_3imag,csi_4real,csi_4imag,csi_5real,csi_5imag,csi_6real,csi_6imag,csi_7real,csi_7imag,csi_8real,csi_8imag,csi_9real,csi_9imag,csi_10real,csi_10imag,csi_11real,csi_11imag,csi_12real,csi_12imag,csi_13real,csi_13imag,csi_14real,csi_14imag,csi_15real,csi_15imag,csi_16real,csi_16imag,csi_17real,csi_17imag,csi_18real,csi_18imag,csi_19real,csi_19imag,csi_20real,csi_20imag,csi_21real,csi_21imag,csi_22real,csi_22imag,csi_23real,csi_23imag,csi_24real,csi_24imag,csi_25real,csi_25imag,csi_26real,csi_26imag,csi_27real,csi_27imag,csi_28real,csi_28imag,csi_29real,csi_29imag,csi_30real,csi_30imag,csi_31real,csi_31imag,csi_32real,csi_32imag,csi_33real,csi_33imag,csi_34real,csi_34imag,csi_35real,csi_35imag,csi_36real,csi_36imag,csi_37real,csi_37imag,csi_38real,csi_38imag,csi_39real,csi_39imag,csi_40real,csi_40imag,csi_41real,csi_41imag,csi_42real,csi_42imag,csi_43real,csi_43imag,csi_44real,csi_44imag,csi_45real,csi_45imag,csi_46real,csi_46imag,csi_47real,csi_47imag,csi_48real,csi_48imag,csi_49real,csi_49imag,csi_50real,csi_50imag,csi_51real,csi_51imag,csi_52real,csi_52imag,csi_53real,csi_53imag,csi_54real,csi_54imag,csi_55real,csi_55imag,csi_56real,csi_56imag,csi_57real,csi_57imag,csi_58real,csi_58imag,csi_59real,csi_59imag,csi_60real,csi_60imag,csi_61real,csi_61imag,csi_62real,csi_62imag,csi_63real,csi_63imag,csi_64real,csi_64imag,csi_65real,csi_65imag,csi_66real,csi_66imag,csi_67real,csi_67imag,csi_68real,csi_68imag,csi_69real,csi_69imag,csi_70real,csi_70imag,csi_71real,csi_71imag,csi_72real,csi_72imag,csi_73real,csi_73imag,csi_74real,csi_74imag,csi_75real,csi_75imag,csi_76real,csi_76imag,csi_77real,csi_77imag,csi_78real,csi_78imag,csi_79real,csi_79imag,csi_80real,csi_80imag,csi_81real,csi_81imag,csi_82real,csi_82imag,csi_83real,csi_83imag,csi_84real,csi_84imag,csi_85real,csi_85imag,csi_86real,csi_86imag,csi_87real,csi_87imag,csi_88real,csi_88imag,csi_89real,csi_89imag,csi_90real,csi_90imag,csi_91real,csi_91imag,csi_92real,csi_92imag,csi_93real,csi_93imag,csi_94real,csi_94imag,csi_95real,csi_95imag,csi_96real,csi_96imag,csi_97real,csi_97imag,csi_98real,csi_98imag,csi_99real,csi_99imag,csi_100real,csi_100imag,csi_101real,csi_101imag,csi_102real,csi_102imag,csi_103real,csi_103imag,csi_104real,csi_104imag,csi_105real,csi_105imag,csi_106real,csi_106imag,csi_107real,csi_107imag,csi_108real,csi_108imag,csi_109real,csi_109imag,csi_110real,csi_110imag,csi_111real,csi_111imag,csi_112real,csi_112imag,csi_113real,csi_113imag,csi_114real,csi_114imag,csi_115real,csi_115imag,csi_116real,csi_116imag,csi_117real,csi_117imag,csi_118real,csi_118imag,csi_119real,csi_119imag,csi_120real,csi_120imag,csi_121real,csi_121imag,csi_122real,csi_122imag,csi_123real,csi_123imag,csi_124real,csi_124imag,csi_125real,csi_125imag,csi_126real,csi_126imag,csi_127real,csi_127imag,csi_128real,csi_128imag,channel,distance
84,30,-32,1,0,-14,14,-13,15,-12,15,-12,16,-12,16,-12,16,-11,16,-10,16,-10,16,-10,17,-10,17,-10,17,-10,17,-9,17,-9,18,-9,18,-9,17,-10,17,-10,17,-10,17,-11,16,-11,16,-12,15,-13,14,-13,13,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-13,13,-14,12,-15,12,-16,11,-16,11,-16,11,-17,10,-17,10,-16,9,-17,9,-17,9,-17,9,-18,9,-17,9,-17,10,-16,10,-15,10,-15,11,-16,11,-16,11,-16,12,-15,12,-15,13,-15,13,-15,13,-15,13,-8,8,-26,28,-25,29,-25,29,-23,29,-23,30,-22,30,-22,30,-20,31,-19,32,-19,32,-18,33,-18,33,-18,33,-17,34,-17,34,-17,34,-17,33,-17,33,-18,32,-18,32,-19,32,-21,32,-22,31,-23,29,-24,27,-26,25,-28,22,-29,20,-6,3,-2,0,0,-1,0,-1,0,-1,-1,1,-3,5,-17,29,-18,29,-23,27,-25,25,-27,24,-29,23,-30,22,-30,21,-31,20,-31,20,-31,19,-32,19,-32,19,-33,19,-33,19,-33,19,-32,19,-31,20,-30,20,-29,21,-29,22,-29,22,-29,24,-29,25,-28,25,-27,26,-27,26,-27,26,11,185
85,30,-32,1,0,6,18,7,18,7,17,8,17,8,16,8,16,9,16,9,16,10,16,10,16,10,15,11,15,11,15,11,15,11,15,11,15,11,15,11,15,11,15,11,16,10,16,9,17,9,17,7,17,6,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,18,3,18,2,18,1,19,1,18,1,18,0,18,0,18,0,19,-1,19,-1,19,-1,19,-1,19,0,18,0,18,0,19,1,18,1,18,2,19,2,19,3,19,3,1,9,4,18,4,19,4,19,4,19,4,10,14,35,14,34,14,33,15,33,16,32,17,31,18,30,19,30,20,29,20,28,21,28,22,28,23,28,23,28,23,27,23,28,23,28,23,28,23,28,22,28,22,29,21,30,19,30,18,31,16,32,14,33,12,33,10,33,1,5,0,1,-1,-1,-1,-2,-1,-1,0,1,3,5,16,30,15,31,10,33,8,34,6,35,4,36,3,36,3,35,2,36,1,35,0,36,0,36,0,36,0,36,0,36,1,36,2,36,3,36,4,36,5,36,5,36,6,36,7,35,8,35,9,35,10,35,11,35,12,11,185
86,30,-32,1,0,-5,-21,-6,-21,-6,-21,-7,-21,-8,-21,-8,-21,-8,-20,-9,-19,-9,-19,-10,-19,-10,-19,-10,-20,-11,-20,-11,-19,-11,-19,-11,-19,-11,-18,-11,-18,-11,-19,-10,-19,-9,-20,-9,-20,-8,-20,-7,-21,-5,-21,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,-4,-20,-3,-21,-1,-21,0,-22,0,-22,0,-22,1,-22,1,-21,2,-21,2,-22,2,-22,2,-22,2,-22,2,-22,1,-22,1,-21,0,-21,0,-21,-1,-22,-1,-22,-2,-22,-2,-22,-2,-21,-3,-22,-3,-22,-4,-22,-4,-13,-10,-42,-11,-41,-11,-41,-12,-40,-13,-39,-14,-39,-14,-38,-15,-38,-1,7,-37,-18,-37,-19,-37,-19,-36,-20,-37,-20,-37,-20,-37,-21,-37,-22,-36,-21,-36,-21,-36,-20,-37,-18,-37,-17,-38,-16,-38,-15,-39,-12,-40,-9,-40,-4,-40,0,-39,0,-7,0,-2,-1,0,0,0,0,0,-1,-2,-4,-6,-17,-32,-15,-34,-10,-38,-7,-40,-4,-41,-2,-41,-1,-41,0,-41,1,-41,2,-41,3,-41,3,-41,3,-41,2,-41,2,-42,2,-42,2,-42,1,-41,0,-41,-1,-41,-2,-41,-3,-42,-4,-42,-5,-42,-6,-41,-8,-4,1,-9,-41,11,185
87,30,-32,1,0,5,19,5,19,5,18,6,18,7,18,7,17,8,17,8,17,9,16,9,16,9,16,10,16,10,16,10,16,10,16,10,16,10,16,10,16,10,16,9,17,9,17,9,18,8,18,6,18,5,18,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18,2,18,1,18,0,18,-1,19,-2,19,-2,18,-2,18,-2,18,-3,19,-3,19,-2,19,-2,19,-2,19,-2,18,-1,19,-1,18,0,18,0,19,1,19,2,19,2,19,2,19,3,19,3,19,4,19,3,11,11,37,11,36,11,35,12,34,13,34,14,33,15,33,16,33,17,32,18,32,18,32,19,31,19,31,20,31,20,31,20,30,21,30,21,30,21,30,20,31,19,32,18,32,17,33,15,34,12,35,10,35,7,35,4,35,0,6,-1,1,-1,-1,-1,-2,-1,-1,0,1,2,5,11,31,11,32,7,34,5,35,2,35,0,36,-1,36,-1,36,-2,36,-2,36,-2,36,-3,36,-3,36,-3,37,-3,37,-2,37,-1,37,-1,36,0,36,1,35,1,35,3,35,4,36,5,36,6,37,7,37,8,37,9,37,11,185
88,124,-64,7,0,-21,-1,-20,-1,-20,0,-20,0,-20,1,-20,1,-20,1,-20,2,-20,3,-20,3,-19,3,-19,3,-19,3,-20,4,-20,4,-20,3,-20,3,-20,3,-20,3,-20,2,-20,1,-20,1,-20,0,-20,-2,-20,-2,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-18,-1,-19,-3,-19,-4,-19,-5,-19,-6,-19,-6,-19,-7,-18,-7,-18,-7,-18,-7,-19,-7,-19,-7,-19,-7,-19,-7,-19,-7,-18,-7,-18,-6,-19,-6,-19,-5,-19,-5,-19,-5,-20,-4,-20,-3,-20,-3,-20,-2,-20,-2,-13,-1,-40,-3,-39,-1,-39,0,-38,1,-37,2,-37,2,-38,3,-38,4,-37,5,-37,7,-37,8,-37,8,-37,8,-37,9,-37,9,-38,9,-38,9,-38,8,-38,8,-38,7,-38,6,-38,5,-38,4,-39,2,-38,-1,-38,-3,-37,-5,-36,-8,-7,-2,-2,-1,0,-1,0,-1,0,-1,-2,0,-6,1,-34,5,-35,3,-36,-1,-37,-3,-37,-6,-36,-8,-36,-9,-36,-10,-36,-11,-36,-12,-36,-12,-36,-12,-36,-12,-36,-12,-36,-12,-36,-13,-36,-12,-36,-12,-35,-11,-36,-10,-36,-9,-36,-8,-37,-7,-38,-6,-38,-5,-38,-4,-39,-3,-39,-2,11,185
89,124,-64,7,0,-21,0,-21,0,-20,1,-20,1,-20,1,-20,2,-20,3,-20,3,-20,4,-19,5,-19,5,-19,5,-19,5,-19,5,-19,5,-19,5,-19,4,-19,4,-19,4,-19,4,-20,4,-20,4,-20,2,-20,1,-20,0,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-18,-2,-19,-4,-19,-5,-19,-6,-18,-6,-18,-6,-18,-7,-18,-7,-18,-7,-19,-7,-19,-7,-19,-7,-18,-7,-18,-7,-19,-7,-19,-6,-19,-5,-19,-5,-19,-5,-19,-5,-20,-4,-20,-3,-20,-3,-20,-2,-20,-2,-20,-2,-12,-2,-39,-4,-39,-4,-38,-4,-38,-3,-37,-2,-37,-1,-37,0,-38,1,-38,2,-38,4,-37,5,-37,6,-37,6,-3,7,6,-38,7,-38,7,-38,6,-37,6,-37,5,-37,5,-37,4,-38,4,-38,3,-38,1,-38,-2,-37,-4,-35,-13,-34,-15,-7,-3,-2,-2,0,0,0,0,0,0,-2,0,-6,-1,-33,-3,-33,-5,-35,-6,-35,-9,-36,-12,-35,-13,-34,-15,-34,-15,-33,-16,-33,-17,-33,-17,-34,-17,-34,-17,-34,-16,-34,-17,-34,-17,-34,-17,-33,-16,-33,-15,-34,-14,-35,-13,-36,-11,-36,-11,-37,-10,-37,-8,-37,-7,-37,-7,-37,11,185
90,82,32,5,0,-20,1,-20,1,-20,2,-19,3,-19,3,-19,3,-19,4,-19,4,-19,5,-18,5,-19,5,-19,5,-19,5,-19,6,-19,6,-19,6,-19,5,-19,5,-19,5,-19,4,-19,4,-19,3,-20,2,-19,0,-19,-1,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-18,1,-19,0,-19,-2,-19,-2,-19,-3,-19,-4,-19,-4,-19,-4,-19,-5,-19,-5,-19,-5,-19,-5,-19,-5,-19,-5,-19,-4,-19,-4,-19,-4,-19,-3,-19,-3,-20,-2,-20,-2,-20,-1,-20,-1,-20,-1,-20,-1,-20,-1,-12,0,-39,2,-39,3,-38,4,-37,5,-37,6,-36,6,-36,7,-36,8,-36,9,-36,9,-36,10,-36,11,-36,11,-35,12,-35,12,-35,12,-35,12,-35,11,-35,11,-36,11,-36,10,-36,9,-37,7,-37,5,-37,3,-36,0,-35,-2,-34,-4,-7,-1,-2,-1,0,-1,0,-1,0,-1,-2,0,-6,1,-33,5,-35,4,-35,2,-37,0,-37,-2,-37,-4,-37,-6,-37,-7,-37,-8,-37,-9,-37,-9,-36,-10,-36,-10,-36,-10,-36,-10,-37,-9,-37,-9,-36,-8,-36,-7,-36,-5,-37,-4,-37,-4,-38,-3,-38,-3,-38,-2,-38,-2,-38,-1,-38,0,11,185
91,30,-32,1,0,20,-7,20,-8,20,-8,19,-9,19,-9,19,-10,19,-11,18,-11,17,-11,17,-11,17,-12,17,-12,17,-12,17,-12,18,-13,18,-13,17,-13,17,-13,18,-12,18,-12,19,-11,19,-10,19,-9,19,-8,20,-7,5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,19,-5,19,-4,20,-3,21,-2,21,-1,20,-1,20,0,20,1,20,1,20,0,21,0,21,1,21,1,21,1,21,0,20,0,20,-1,20,-2,20,-3,21,-3,21,-3,21,-4,20,-5,20,-5,21,-6,21,-6,12,-4,40,-13,40,-14,39,-14,38,-15,37,-17,36,-18,36,-19,36,-20,35,-21,35,-21,35,-22,34,-23,34,-24,34,-24,34,-24,34,-24,33,-24,33,-23,34,-23,35,-22,35,-22,36,-21,37,-20,37,-18,38,-15,38,-12,38,-8,38,-5,6,-1,1,0,-1,0,-2,0,-1,0,1,-1,6,-3,34,-14,35,-12,36,-9,37,-8,39,-5,39,-3,40,-2,39,0,39,1,40,2,40,2,40,2,40,2,41,2,41,1,41,1,40,0,40,-1,40,-2,40,-3,39,-4,39,-5,40,-6,40,-7,40,-9,40,-10,40,-11,40,-11,11,185
92,30,-32,1,0,-10,19,-10,20,-9,19,-9,19,-8,19,-7,20,-7,19,-6,20,-5,20,-5,20,-5,20,-5,20,-4,20,-4,21,-4,20,-4,21,-4,20,-4,20,-5,2,0,-6,20,-6,20,-7,20,-8,20,-9,19,-10,17,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-10,18,-11,17,-13,17,-14,16,-15,16,-15,15,-15,15,-15,15,-16,15,-16,15,-16,15,-16,15,-16,15,-16,15,-15,15,-15,15,-14,15,-14,16,-14,16,-14,17,-13,17,-13,18,-12,18,-12,18,-12,18,-12,18,-9,13,-23,37,-22,37,-21,37,-20,37,-19,37,-19,38,-18,38,-16,38,-15,38,-13,38,-13,38,-13,39,-12,39,-12,39,-12,39,-11,39,-11,39,-11,38,-11,38,-12,38,-13,38,-14,39,-15,38,-17,37,-19,35,-21,32,-24,29,-26,27,-10,9,-4,2,0,-1,0,-3,0,-2,-2,4,-5,13,-14,36,-16,35,-19,34,-22,33,-25,32,-27,31,-29,30,-30,29,-31,28,-31,27,-31,27,-31,27,-31,27,-31,28,-31,28,-31,29,-31,29,-30,29,-29,29,-28,29,-28,30,-28,30,-27,32,-27,33,-26,34,-24,35,-22,36,-21,11,185
93,124,-64,7,0,13,-15,12,-15,12,-15,12,-15,12,-16,11,-16,11,-16,10,-17,10,-17,10,-17,10,-17,10,-17,9,-17,9,-17,9,-17,9,-17,9,-17,9,-17,9,-17,10,-17,11,-17,11,-16,12,-16,13,-15,13,-14,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,12,-13,13,-13,14,-12,15,-11,15,-11,15,-10,16,-10,16,-10,16,-10,17,-9,17,-9,17,-9,17,-9,17,-10,16,-10,16,-10,16,-11,15,-11,15,-11,15,-12,15,-12,15,-13,14,-13,14,-13,15,-13,15,-14,9,-11,25,-31,24,-30,23,-30,22,-30,21,-31,21,-31,20,-32,19,-32,18,-33,17,-34,17,-3,4,17,-35,17,-35,16,-35,16,-35,15,-34,15,-34,15,-34,16,-33,16,-33,18,-33,19,-33,20,-32,22,-31,23,-29,25,-26,26,-23,27,-22,10,-8,3,-2,-1,0,-1,1,-1,0,1,-4,5,-12,16,-30,18,-29,21,-28,2,3,-27,25,-25,27,-24,28,-23,29,-23,30,-22,30,-22,31,-22,31,-21,31,-21,31,-21,31,-21,31,-21,30,-21,30,-22,29,-23,29,-24,28,-24,28,-25,28,-26,27,-26,27,-27,26,-28,25,-28,11,185
94,82,32,5,0,-22,-4,-22,-3,-21,-2,-21,-2,-21,-1,-21,-1,-21,0,-21,1,-21,1,-21,1,-21,1,-21,2,-21,2,-21,3,-21,3,-21,3,-21,3,-21,3,-21,3,-21,2,-21,2,-21,1,-21,0,-21,-2,-21,-3,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-20,-6,-20,-7,-20,-8,-19,-9,-19,-10,-19,-10,-19,-10,-19,-11,-19,-11,-19,-11,-18,-12,-18,-12,-19,-11,-19,-11,-19,-10,-19,-10,-19,-10,-19,-9,-20,-8,-20,-8,-20,-7,-21,-7,-21,-6,-21,-6,-21,-6,-21,-6,-16,0,-43,0,-42,1,-42,2,-41,3,-40,4,-40,5,-39,6,-39,7,-40,8,-40,8,-40,9,-4,0,9,-39,10,-38,10,-38,11,-39,12,-39,12,-39,12,-40,11,-40,11,-40,10,-40,10,-40,8,-40,5,-40,2,-39,-1,-38,-4,-38,-5,-14,-2,-5,-1,1,-1,2,-1,1,0,-4,0,-14,1,-37,2,-38,0,-38,-3,-39,-5,-40,-8,-40,-10,-40,-11,-39,-12,-39,-12,-39,-13,-39,-13,-39,-14,-39,-15,-38,-16,-38,-16,-38,-14,-38,-13,-39,-12,-39,-11,-39,-9,-39,-9,-39,-8,-40,-7,-40,-6,-41,-5,-41,-4,-40,-3,-40,11,185
95,30,-32,1,0,-15,13,-14,13,-14,13,-14,14,-13,15,-13,15,-12,16,-12,16,-11,16,-11,17,-11,18,-11,18,-10,19,-10,19,-10,20,-10,20,-1,0,20,-10,21,-11,21,-11,21,-12,21,-13,21,-15,20,-16,19,-17,18,-5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-20,9,-21,8,-21,6,-21,5,-21,4,-21,4,-21,3,-21,3,-21,3,-20,3,-20,3,-20,3,-20,3,-20,4,-19,4,-19,5,-18,5,-18,6,-18,6,-18,7,-18,8,-17,8,-16,9,-16,10,-16,10,-17,10,-12,8,-33,22,-32,22,-31,22,-30,23,-29,24,-29,25,-29,26,-28,27,-27,29,-26,31,-25,32,-25,33,-25,34,-25,34,-25,34,-25,35,-25,35,-25,36,-26,36,-27,36,-29,37,-30,36,-32,36,-33,35,-36,32,-38,29,-40,25,-42,22,-16,7,-5,1,1,-1,2,-2,1,-1,-4,2,-13,8,-36,22,-37,19,-39,17,-40,14,-41,11,-41,9,-40,7,-40,5,-39,4,-39,3,-38,3,-38,3,-38,4,-39,4,-38,4,-38,5,-37,6,-36,7,-36,8,-36,9,-35,10,-36,11,-35,12,-35,13,-34,15,-33,16,-31,18,-30,6,185
96,30,-32,1,0,19,-5,19,-5,19,-6,19,-7,19,-7,19,-8,18,-9,18,-10,18,-11,18,-11,19,-12,19,-12,19,-13,18,-13,19,-13,19,-13,20,-14,20,-14,20,-13,21,-13,22,-13,23,-12,23,-11,24,-10,25,-8,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,22,1,23,3,22,4,21,5,21,5,20,6,20,6,19,6,19,6,19,6,20,5,20,5,19,5,19,4,19,3,19,3,19,2,19,2,19,1,19,1,19,0,19,-1,19,-2,20,-2,20,-2,11,-3,37,-9,37,-10,36,-11,35,-12,35,-13,35,-14,35,-16,35,-17,35,-18,34,-19,35,-21,35,-22,35,-23,35,-24,35,-24,35,-24,36,-25,37,-25,37,-25,38,-25,39,-25,41,-24,42,-23,44,-21,45,-18,46,-14,46,-9,46,-5,8,-1,2,0,-1,0,-2,0,-1,-1,2,-1,7,-3,40,-10,41,-7,43,-1,43,2,43,5,42,7,41,9,40,9,39,10,38,10,37,11,37,10,37,10,37,10,37,9,36,8,36,7,36,6,36,5,35,4,35,3,35,1,36,0,36,-1,36,-2,37,-3,37,-5,37,-7,6,185
97,124,-64,7,0,-15,13,-14,14,-14,14,-14,14,-13,15,-13,15,-13,16,-12,16,-12,17,-11,18,-11,18,-11,18,-10,18,-10,19,-10,19,-10,20,-11,20,-11,20,-12,20,-12,20,-13,20,-14,20,-15,20,-16,19,-18,18,-5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,3,-20,11,-20,10,-21,8,-21,7,-21,6,-21,6,-21,5,-20,4,-20,4,-20,4,-20,4,-20,5,-20,5,-19,5,-19,5,-18,6,-18,6,-17,7,-18,7,-18,8,-17,9,-17,9,-17,10,-16,11,-16,11,-16,11,-8,11,-22,31,-21,32,-19,32,-18,33,-18,34,-17,35,-16,35,-15,36,-14,37,-12,38,-12,39,-11,39,-11,40,-10,40,-10,41,-9,41,-9,42,-10,42,-11,43,-12,44,-14,45,-16,46,-18,46,-19,45,-22,43,-25,40,-28,37,-30,36,-12,12,-4,3,0,-2,1,-3,0,-2,-3,4,-9,13,-24,36,-26,34,-28,32,-31,30,-33,28,-34,26,-35,24,-35,22,-35,21,-35,20,-35,19,-35,19,-35,19,-34,19,-33,20,-32,20,-31,21,-30,21,-29,22,-29,23,-28,23,-28,24,-27,26,-27,27,-26,28,-25,28,-23,29,-22,29,6,185
98,82,32,5,0,0,0,0,0,0,0,-6,-3,-22,-9,-21,-10,-21,-11,-20,-12,-19,-13,-19,-13,-18,-13,-17,-13,-17,-14,-17,-14,-17,-14,-17,-14,-1,6,-14,-16,-14,-16,-14,-16,-13,-16,-13,-16,-12,-16,-12,-16,-11,-16,-11,-16,-10,-16,-9,-17,-9,-17,-9,-17,-8,-9,-4,-17,-8,-17,-7,-18,-7,-18,-7,-18,-6,-19,-5,-19,-5,-19,-5,-19,-4,-20,-3,-20,-3,-20,-3,-20,-3,-21,-3,-21,-3,-21,-3,-21,-3,-21,-2,-21,-3,-21,-2,-21,-3,-21,-3,-21,-4,-21,-4,-21,-5,-21,-6,-6,-2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-6,-1,-44,-10,-43,-14,-42,-1,8,-41,-20,-40,-22,-38,-23,-37,-24,-36,-25,-35,-26,-34,-25,-34,-26,-33,-27,-32,-27,-32,-27,-31,-26,-31,-26,-30,-26,-30,-24,-30,-24,-30,-23,-31,-22,-31,-21,-31,-20,-31,-19,-32,-19,-3,2,-18,-32,-17,-32,-16,-17,-8,-33,-15,-34,-14,-34,-13,-34,-13,-35,-12,-36,-10,-36,-9,-36,-8,-37,-7,-38,-7,-38,-6,-39,-6,-39,-6,-39,-6,-39,-6,-39,-5,-40,-5,-40,-5,-40,-5,-40,-5,-41,-5,-40,-6,-41,-7,-41,-8,-41,-10,-40,-12,-38,-14,-37,-17,-5,-3,-1,6,185
99,30,-32,1,0,0,0,0,0,0,0,2,5,10,22,9,23,8,23,7,24,6,24,5,24,4,23,4,23,3,23,3,23,3,23,3,22,3,22,3,22,3,21,4,21,4,20,4,20,4,20,5,20,5,19,6,19,6,18,6,18,7,18,8,18,4,9,9,18,9,17,10,17,10,17,11,17,11,16,12,16,12,16,13,15,14,15,14,15,14,16,15,16,15,15,15,15,16,15,16,15,17,16,16,16,16,16,16,16,16,17,15,17,15,17,1,4,18,14,18,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,49,9,50,5,50,2,50,-1,50,-3,51,-5,50,-7,49,-9,47,-9,46,-9,46,-9,45,-9,45,-10,45,-10,45,-9,45,-8,44,-7,43,-6,42,-6,42,-6,41,-5,41,-4,40,-3,40,-1,40,0,40,1,40,3,40,2,20,5,40,5,40,7,40,8,39,10,40,11,40,11,39,12,39,13,39,15,39,17,40,17,41,18,40,18,40,19,40,19,40,19,40,19,40,19,41,19,41,19,42,19,42,18,43,17,44,16,44,13,44,9,44,8,44,1,11,0,0,0,6,185
100,30,-32,1,0,0,0,0,0,0,0,-6,-2,-23,-7,-23,-8,-22,-9,-21,-10,-21,-11,-20,-12,-20,-12,-19,-12,-19,-12,-19,-12,-19,-12,-18,-12,-19,-12,-18,-12,-18,-11,-18,-11,-18,-10,-18,-10,-18,-10,-18,-9,-18,-9,-18,-8,-18,-7,-18,-7,-18,-6,-19,-6,-10,-3,-19,-5,-19,-4,-19,-4,-19,-3,-19,-3,-19,-2,-20,-2,-20,-1,-20,1,-21,2,-21,2,-21,1,-21,1,-21,1,-21,2,-21,2,-21,2,-22,2,-22,2,-22,1,-22,1,-22,1,-22,1,-22,0,-22,-1,-22,-1,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-2,-46,-7,-46,-10,-45,-14,-44,-17,-42,-19,-39,-21,-38,-23,-38,-24,-37,-24,-35,-24,-35,-24,-36,-24,-36,-24,-35,-24,-35,-24,-35,-23,-34,-23,-33,-22,-33,-21,-33,-20,-33,-20,-32,-20,-32,-19,-33,-17,-34,-16,-34,-15,-35,-13,-35,-12,-18,-6,-35,-12,-35,-11,-35,-10,-35,-9,-36,-8,-36,-8,-36,-7,-36,-6,-37,-5,-38,-3,-40,-2,-41,-2,-40,-2,-40,-2,-41,-1,-40,-1,-41,-1,-42,-2,-41,-2,-41,-3,-42,-3,-43,-4,-43,-4,-43,-5,-42,-7,-41,-9,-40,-11,-40,-13,-10,-4,0,0,0,0,6,185
101,30,-32,1,0,0,0,0,0,0,0,-6,-1,-22,-3,-22,-4,-21,-5,-21,-6,-20,-7,-20,-7,-19,-7,-19,-8,-19,-8,-19,-8,-19,-8,-19,-8,-19,-8,-18,-8,-18,-7,-18,-7,-17,-6,-17,-6,-17,-6,-18,-5,-18,-5,-18,-4,-18,-4,-18,-3,-18,-2,-18,-2,-9,-1,-19,-1,-18,0,-18,0,-18,0,-18,1,-18,2,-19,2,-18,3,-18,4,-18,4,-19,4,-18,4,-19,5,-19,5,-19,5,-19,6,-19,6,-19,6,-19,6,-19,6,-19,6,-20,6,-20,6,-20,5,-20,4,-20,3,-5,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-6,0,-41,3,-42,0,-42,-5,-42,-7,-42,-10,-41,-11,-39,-13,-38,-14,-38,-14,-37,-14,-36,-15,-36,-15,-36,-15,-37,-15,-36,-15,-35,-14,-35,-14,-34,-13,-34,-12,-33,-12,-33,-11,-33,-10,-34,-9,-34,-8,-34,-6,-34,-5,-34,-5,-34,-4,-18,-2,-35,-2,-35,-1,-34,0,-34,1,-3,4,2,-35,3,-35,4,-35,4,-35,6,-35,7,-35,8,-36,9,-36,9,-37,9,-36,9,-36,10,-37,10,-37,10,-37,11,-36,11,-37,11,-37,10,-38,10,-39,8,-39,7,-39,5,-39,1,-39,0,-5,-1,-1,-1,-1,6,185
102,30,-32,1,0,19,-2,19,-3,19,-3,19,-4,19,-5,20,-5,19,-6,19,-6,20,-7,20,-8,20,-9,20,-9,20,-10,20,-10,20,-10,21,-10,21,-10,22,-10,22,-9,23,-9,23,-9,24,-8,24,-7,25,-5,25,-4,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,2,22,3,21,5,21,6,20,7,20,7,20,8,19,8,18,8,18,8,18,8,18,7,18,7,18,7,18,6,18,5,18,5,18,4,18,4,18,3,19,3,19,2,18,1,19,1,19,0,19,-1,14,-3,39,-7,38,-9,37,-10,37,-11,37,-13,37,-14,37,-15,37,-16,37,-18,36,-20,36,-21,36,-23,36,-23,36,-24,36,-24,36,-24,37,-25,38,-24,39,-24,40,-2,3,41,-23,43,-23,44,-22,45,-20,46,-17,47,-12,48,-8,48,-6,17,-2,5,0,-2,0,-3,0,-2,0,4,-2,15,-4,43,-9,43,-7,44,-3,44,1,43,4,42,7,41,9,40,10,39,12,38,13,38,12,38,12,38,11,38,10,37,9,37,8,36,7,36,6,36,5,36,4,36,3,36,3,36,2,37,0,37,-2,36,-4,36,-5,36,6,185
